,Author,Year,ID,R_T,H,d,fcm,bw,hf,E_f,f_fu,nf_tf,sf,wf,Rho_f,S_U_O,alpha,f_yy,S,Phi_s,Rho_sw,Asb,Ast,E_s,a_d,V_f_exp,V_R_exp,A_fpl,A_spl,SFI_factor,R,Deformed,Round,eps_fu,w_s,e_fe
0,Al-Sulaimani et al,1994,SO,1,150.0,113.0,37.7,150.0,150.0,16.0,200.0,3.0,50.0,20,0.016,2,90,450.0,200.0,6.0,0.0018849555921538759,339.29200658769764,56.548667764616276,200.0,3.5398230088495577,8.2,41.5,1.9021130325903073,0.2827433388230814,5.436404767878825,20.0,1,0,0.0125,0.4,0.001423611111111111
1,Al-Sulaimani et al,1994,SP,1,150.0,113.0,37.7,150.0,150.0,16.0,200.0,3.0,50.0,20,0.016,2,90,450.0,200.0,6.0,0.0018849555921538759,339.29200658769764,56.548667764616276,200.0,3.5398230088495577,7.9,41.2,2.4,0.2827433388230814,5.934291735288517,20.0,1,0,0.0125,0.4,0.001371527777777778
2,Al-Sulaimani et al,1994,WO,1,150.0,113.0,37.7,150.0,150.0,16.0,200.0,3.0,150.0,150,0.04,2,90,450.0,200.0,6.0,0.0018849555921538759,339.29200658769764,56.548667764616276,200.0,3.5398230088495577,8.7,42.0,6.0,0.2827433388230814,9.534291735288518,20.0,1,0,0.0125,1.0,0.0006041666666666666
3,Al-Sulaimani et al,1994,WP,1,150.0,113.0,37.7,150.0,150.0,16.0,200.0,3.0,150.0,150,0.04,2,90,450.0,200.0,6.0,0.0018849555921538759,339.29200658769764,56.548667764616276,200.0,3.5398230088495577,11.9,45.2,6.0,0.2827433388230814,9.534291735288518,20.0,1,0,0.0125,1.0,0.000826388888888889
4,Chaallal et al,1998,RS90,1,250.0,210.0,35.0,150.0,250.0,150.0,2400.0,1.0,100.0,50,0.006666666666666667,2,90,400.0,200.0,6.0,0.0018849555921538759,530.1437602932776,0.0,200.0,2.857142857142857,34.3,91.3,1.0,0.2827433388230814,1.3769911184307753,20.0,1,0,0.016,0.5,0.0009146666666666666
5,Chaallal et al,1998,RS135,1,250.0,210.0,35.0,150.0,250.0,150.0,2400.0,1.0,100.0,50,0.006666666666666667,2,45,400.0,200.0,6.0,0.0018849555921538759,530.1437602932776,0.0,200.0,2.857142857142857,43.5,96.8,1.0,0.2827433388230814,1.3769911184307753,20.0,1,0,0.016,0.5,0.0011599999999999998
6,Mitsui et al,1997,A1,1,250.0,220.0,28.5,150.0,250.0,230.0,3430.0,0.168,150.0,150,0.0022400000000000002,2,90,0.0,0.0,0.0,0.0,398.19686884250626,398.19686884250626,200.0,2.272727272727273,40.2,134.4,0.336,0.0,0.336,20.0,0,0,0.01491304347826087,1.0,0.0020807453416149067
7,Mitsui et al,1997,B1,1,250.0,220.0,28.5,150.0,250.0,230.0,3430.0,0.168,150.0,150,0.0022400000000000002,2,90,0.0,0.0,0.0,0.0,398.19686884250626,398.19686884250626,200.0,2.272727272727273,43.2,137.3,0.336,0.0,0.336,20.0,0,0,0.01491304347826087,1.0,0.0022360248447204968
8,Mitsui et al,1997,C1,1,250.0,220.0,28.5,150.0,250.0,230.0,3430.0,0.168,150.0,150,0.0022400000000000002,2,90,0.0,0.0,0.0,0.0,398.19686884250626,398.19686884250626,200.0,2.272727272727273,34.3,128.5,0.336,0.0,0.336,20.0,0,0,0.01491304347826087,1.0,0.0017753623188405795
9,Mitsui et al,1997,D1,1,250.0,220.0,28.5,150.0,250.0,230.0,3430.0,0.168,150.0,150,0.0022400000000000002,2,90,0.0,0.0,0.0,0.0,398.19686884250626,398.19686884250626,200.0,3.1818181818181817,55.4,126.5,0.336,0.0,0.336,20.0,0,0,0.01491304347826087,1.0,0.002867494824016563
10,Mitsui et al,1997,E1,1,250.0,220.0,28.5,150.0,250.0,230.0,3430.0,0.168,150.0,150,0.0022400000000000002,2,90,0.0,0.0,0.0,0.0,398.19686884250626,398.19686884250626,200.0,3.1818181818181817,37.8,108.9,0.336,0.0,0.336,20.0,0,0,0.01491304347826087,1.0,0.0019565217391304345
11,Triantafillou,1998,S1a,1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.111,45.0,30,0.0021142857142857144,2,90,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,13.55,21.75,0.148,0.0,0.148,20.0,0,0,0.014042553191489362,0.6666666666666666,0.003541742903445031
12,Triantafillou,1998,S1b,1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.111,45.0,30,0.0021142857142857144,2,90,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,11.25,19.45,0.148,0.0,0.148,20.0,0,0,0.014042553191489362,0.6666666666666666,0.0029405614511997494
13,Triantafillou,1998,S1(45),1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.111,63.63961030678928,30,0.001495025765937272,2,45,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,14.05,22.25,0.10465180361560904,0.0,0.10465180361560904,20.0,0,0,0.014042553191489362,0.4714045207910317,0.005193606710058546
14,Triantafillou,1998,S2a,1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.111,45.0,30,0.0021142857142857144,2,90,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,15.85,24.05,0.148,0.0,0.148,20.0,0,0,0.014042553191489362,0.6666666666666666,0.004142924355690313
15,Triantafillou,1998,S2b,1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.111,45.0,30,0.0021142857142857144,2,90,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,12.9,21.1,0.148,0.0,0.148,20.0,0,0,0.014042553191489362,0.6666666666666666,0.0033718437973757126
16,Triantafillou,1998,S2(45),1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.111,63.63961030678928,30,0.001495025765937272,2,45,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,15.45,23.65,0.10465180361560904,0.0,0.10465180361560904,20.0,0,0,0.014042553191489362,0.4714045207910317,0.005711119122448722
17,Triantafillou,1998,S3a,1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.147,45.0,30,0.0028,2,90,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,13.2,21.4,0.196,0.0,0.196,20.0,0,0,0.014042553191489362,0.6666666666666666,0.0026052974381241857
18,Triantafillou,1998,S3b,1,110.0,100.0,30.0,70.0,110.0,235.0,3300.0,0.147,45.0,30,0.0028,2,90,0.0,0.0,0.0,0.0,100.53096491487338,0.0,200.0,3.2,10.55,18.75,0.196,0.0,0.196,20.0,0,0,0.014042553191489362,0.6666666666666666,0.0020822642403189513
